product_name,price,rating,ram_rom,display_size,camera,battery,processor,warranty,full_description,page,price_clean,rating_clean
N/A,"₹17,499",N/A,4 gb ram | 128 gb,17.27 cm,13mp rear camera,7000 mah,dimensity,1 year,"realme P4 Lite 5G (Mosaic Green, 128 GB)4.37,817 Ratings & 403 Reviews4 GB RAM | 128 GB ROM17.27 cm (6.8 inches) HD+ Display13MP Rear Camera | 5MP Front Camera7000 mAh lithium-ion polymer BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",2,17499.0,
N/A,"₹9,999",N/A,6 gb ram | 128 gb,17.13 cm,50mp rear camera,5000 mah,N/A,1 year,"Ai+ Pulse 1 (Black, 128 GB)49,727 Ratings & 604 Reviews6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories",2,9999.0,
N/A,"₹15,999",N/A,4 gb ram | 128 gb,16.92 cm,50mp rear camera,7000 mah,dimensity,1 year,"MOTOROLA g37 power (PANTONE Nautical Blue, 128 GB)4.2864 Ratings & 144 Reviews4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.92 cm (6.66 inch) HD+ Display50MP Rear Camera | 8MP Front Camera7000 mAh BatteryDimensity 6400 Processor1 Year on Handset and 6 Months on Accessories",2,15999.0,
N/A,"₹14,999",N/A,4 gb ram | 128 gb,17.02 cm,50mp rear camera,6000 mah,N/A,N/A,"HMD Vibe2 5G (Cosmic Lavender, 128 GB)4.62,967 Ratings & 264 Reviews4 GB RAM | 128 GB ROM17.02 cm (6.7 inch) HD+ Display50MP Rear Camera | 8MP Front Camera6000 mAh Li-Poly Battery1-year manufacturer warranty",2,14999.0,
N/A,"₹18,999",N/A,6 gb ram | 128 gb,17.27 cm,13mp rear camera,7000 mah,dimensity,1 year,"realme P4 Lite 5G (Mosaic Blue, 128 GB)4.31,302 Ratings & 89 Reviews6 GB RAM | 128 GB ROM17.27 cm (6.8 inches) HD+ Display13MP Rear Camera | 5MP Front Camera7000 mAh lithium-ion polymer BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",2,18999.0,
N/A,"₹1,971",N/A,N/A,6.1 cm,0mp front camera,1450 mah,N/A,N/A,"Nokia 130 Music Dual Sim with Music Player, Dedicated Music Buttons3.926,419 Ratings & 1,469 Reviews4 MB RAM | 4 MB ROM6.1 cm (2.4 inch) Display0MP Front Camera1450 mAh Battery6261D ProcessorNA",2,1971.0,
N/A,₹849,N/A,N/A,4.57 cm,N/A,1000 mah,N/A,1 year,"itel Ace 3 Shine4.11,870 Ratings & 87 Reviews4 MB RAM | 4 MB ROM | Expandable Upto 32 GB4.57 cm (1.8 inch) QVGA Display1000 mAh BatteryUnisoc Processor1 year manufacturer Warranty",2,849.0,
N/A,"₹11,251",N/A,4 gb ram | 64 gb,17.02 cm,50mp rear camera,5000 mah,N/A,1 year,"Samsung Galaxy M06 5G (Sage Green, 64 GB)4.1960 Ratings & 62 Reviews4 GB RAM | 64 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh Battery1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",2,11251.0,
N/A,"₹22,999",N/A,6 gb ram | 128 gb,17.17 cm,50mp + 2mp | 32mp front camera,7200 mah,dimensity,1 year,"vivo T5x 5G (Star Silver, 128 GB)4.411,940 Ratings & 686 Reviews6 GB RAM | 128 GB ROM17.17 cm (6.76 inch) Display50MP + 2MP | 32MP Front Camera7200 mAh Li-ion BatteryDimensity 7400-Turbo Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",2,22999.0,
N/A,"₹23,999",N/A,8 gb ram | 128 gb,17.2 cm,50mp rear camera,5800 mah,snapdragon,1 year,"REDMI Note 15 SE 5G Snapdragon (Crimson Reserve, 128 GB)4.41,492 Ratings & 128 Reviews8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP Rear Camera | 20MP Front Camera5800 mAh Lithium-Ion Polymer BatterySnapdragon 6 Gen 3 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",2,23999.0,
